,Info,Race,Income,Age,Sex,Marital,Politics,Urban,Collgrad,Office_H,Office_B,Office_A,Discrimination,Affect_W,Affect_H,Affect_B,Affect_A,Work_W,Work_B,Work_H,Work_A,Ident_W,Ident_B,Ident_H,Ident_A,Ident_USA
1456,-1,1,-9,80,2,3,2,3,4,5,5,5,5,1,-1,-1,-1,1,-1,-1,-1,2,-1,-1,-1,1
1457,-1,1,10,63,2,4,1,4,3,3,3,3,5,3,-1,-1,-1,1,-1,-1,-1,2,-1,-1,-1,1
1458,-1,1,5,36,1,1,3,4,4,2,2,2,5,2,-1,-1,-1,5,-1,-1,-1,4,-1,-1,-1,5
1459,-1,1,21,31,1,1,2,3,4,4,4,4,5,3,-1,-1,-1,5,-1,-1,-1,5,-1,-1,-1,1
1460,-1,1,6,76,1,1,2,4,4,4,3,3,5,2,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,2
1461,-1,1,15,61,2,4,3,1,2,3,3,3,5,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1
1462,-1,1,13,63,1,1,2,2,4,3,3,3,5,4,-1,-1,-1,5,-1,-1,-1,5,-1,-1,-1,4
1463,-1,1,19,51,2,1,1,2,4,3,3,3,5,2,-1,-1,-1,4,-1,-1,-1,4,-1,-1,-1,3
1464,-1,1,20,40,2,1,3,4,4,3,2,3,5,2,-1,-1,-1,5,-1,-1,-1,2,-1,-1,-1,2
1465,-1,1,15,46,2,6,3,-7,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1466,-1,1,-9,48,1,1,3,3,4,4,4,4,4,3,-1,-1,-1,4,-1,-1,-1,5,-1,-1,-1,3
1467,-1,1,17,45,1,1,5,1,4,5,5,5,5,1,-1,-1,-1,2,-1,-1,-1,4,-1,-1,-1,4
1468,-1,1,19,50,1,1,1,3,4,2,2,2,4,2,-1,-1,-1,1,-1,-1,-1,3,-1,-1,-1,2
1469,-1,1,20,62,2,1,2,2,3,3,3,3,5,4,-1,-1,-1,2,-1,-1,-1,5,-1,-1,-1,1
1470,-1,1,2,24,1,6,2,4,2,3,4,4,3,2,-1,-1,-1,3,-1,-1,-1,1,-1,-1,-1,1
1471,-1,1,19,67,2,1,1,2,5,3,3,3,5,3,-1,-1,-1,4,-1,-1,-1,3,-1,-1,-1,3
1472,-1,1,1,48,2,4,2,2,3,4,4,4,5,4,-1,-1,-1,1,-1,-1,-1,5,-1,-1,-1,1
1473,-1,2,2,39,2,6,3,2,1,3,2,2,5,-1,-1,1,-1,-1,2,-1,-1,-1,1,-1,-1,2
1474,-1,3,8,25,1,6,2,4,3,4,4,4,4,4,4,-1,-1,-1,-1,1,-1,-1,-1,2,-1,1
1475,-1,1,14,69,2,1,1,2,5,2,2,2,5,1,-1,-1,-1,5,-1,-1,-1,5,-1,-1,-1,3
1476,-1,2,6,25,2,6,5,3,3,2,1,1,2,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,3
1477,-1,1,15,66,2,4,2,4,5,4,4,4,5,1,-1,-1,-1,2,-1,-1,-1,1,-1,-1,-1,1
1478,-1,3,15,61,1,1,1,4,3,3,3,3,3,3,2,2,-1,-1,-1,3,-1,-1,-1,1,-1,2
1479,-1,1,21,62,1,1,1,3,5,2,2,2,4,2,-1,-1,-1,5,-1,-1,-1,5,-1,-1,-1,3
1480,-1,1,13,38,2,1,2,2,3,4,4,4,5,2,-1,-1,-1,5,-1,-1,-1,2,-1,-1,-1,2
1481,-1,1,1,24,2,6,3,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
1482,-1,1,21,80,1,4,2,3,5,5,5,5,3,1,-1,-1,-1,5,-1,-1,-1,4,-1,-1,-1,1
1483,-1,1,10,32,1,1,2,3,4,5,5,5,4,2,-1,-1,-1,4,-1,-1,-1,5,-1,-1,-1,3
1484,-1,3,12,64,2,1,2,-6,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
1485,-1,1,12,74,1,4,2,3,4,3,3,3,5,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1
1486,-1,2,1,30,1,6,2,1,3,1,1,1,1,-1,-1,3,-1,-1,5,-1,-1,-1,2,-1,-1,2
1487,-1,2,17,63,2,1,1,3,4,3,3,3,3,-1,-1,1,-1,-1,2,-1,-1,-1,1,-1,-1,1
1488,-1,1,15,41,2,1,1,2,5,2,2,2,5,2,-1,-1,-1,5,-1,-1,-1,3,-1,-1,-1,3
1489,-1,1,-9,67,2,1,2,4,3,3,3,3,5,3,-1,-1,-1,3,-1,-1,-1,5,-1,-1,-1,5
1490,-1,1,17,72,1,1,3,1,5,3,3,3,5,2,-1,-1,-1,3,-1,-1,-1,3,-1,-1,-1,1
1491,-1,1,21,22,1,6,1,4,4,4,3,4,5,2,-1,-1,-1,4,-1,-1,-1,3,-1,-1,-1,1
1492,-1,1,10,45,1,6,1,1,2,2,2,2,5,4,-1,-1,-1,3,-1,-1,-1,5,-1,-1,-1,5
1493,-1,2,4,52,2,6,1,3,3,5,1,5,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1
1494,-1,4,10,39,1,4,2,3,3,5,5,5,3,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,4,1
1495,-1,3,14,44,2,1,1,4,4,2,2,2,3,2,1,-1,-1,-1,-1,2,-1,-1,-1,1,-1,1
1496,-1,1,15,37,2,1,2,3,4,3,3,3,4,2,-1,-1,-1,4,-1,-1,-1,4,-1,-1,-1,3
1497,-1,1,18,39,1,1,3,2,2,5,5,5,5,1,-1,-1,-1,5,-1,-1,-1,4,-1,-1,-1,1
1498,-1,1,13,54,2,4,2,4,4,3,4,4,3,1,-1,-1,-1,4,-1,-1,-1,4,-1,-1,-1,1
1499,-1,1,5,73,1,1,2,3,1,4,3,4,4,2,-1,-1,-1,3,-1,-1,-1,2,-1,-1,-1,2
1500,-1,3,-9,-9,1,1,3,-6,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
1501,-1,1,15,56,2,1,2,1,3,4,3,3,5,3,-1,-1,-1,4,-1,-1,-1,5,-1,-1,-1,1
1502,-1,1,5,60,1,6,1,2,2,3,3,4,5,2,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1
1503,-1,3,9,29,2,4,1,2,2,3,3,3,5,3,3,-1,-1,-1,-1,2,-1,-1,-1,4,-1,2
1504,-1,-9,9,-9,-9,4,3,3,4,3,3,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1505,-1,1,19,65,1,1,2,3,4,5,5,5,4,2,-1,-1,-1,3,-1,-1,-1,5,-1,-1,-1,1
1506,-1,1,17,49,2,1,2,4,3,5,5,5,5,1,-1,-1,-1,3,-1,-1,-1,5,-1,-1,-1,1
1507,-1,1,16,80,1,1,1,3,2,3,3,3,5,2,-1,-1,-1,2,-1,-1,-1,1,-1,-1,-1,1
1508,-1,1,9,80,2,4,5,4,5,2,2,2,5,2,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,2
1509,-1,4,20,58,2,1,1,4,4,4,3,3,4,-1,-1,-1,2,-1,-1,-1,1,-1,-1,-1,1,1
1510,-1,4,1,50,2,1,3,-6,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
1511,-1,3,8,42,2,6,3,4,3,4,4,4,2,-1,3,-1,-1,-1,-1,2,-1,-1,-1,5,-1,5
1512,-1,3,21,57,2,1,1,3,5,2,1,2,4,3,2,-1,-1,-1,-1,1,-1,-1,-1,2,-1,3
1513,-1,1,21,38,1,1,1,3,5,2,2,2,4,4,-1,-1,-1,5,-1,-1,-1,4,-1,-1,-1,2
1514,-1,1,12,56,1,4,3,4,4,5,5,5,4,2,-1,-1,-1,2,-1,-1,-1,2,-1,-1,-1,2
1515,-1,1,20,47,1,1,2,3,5,4,4,4,4,2,-1,-1,-1,2,-1,-1,-1,4,-1,-1,-1,2
1516,-1,3,19,31,1,6,1,3,4,2,2,2,2,1,3,-1,-1,-1,-1,3,-1,-1,-1,2,-1,2
1517,-1,3,11,27,2,6,3,2,3,3,3,3,4,2,2,-1,-1,-1,-1,2,-1,-1,-1,1,-1,1
1518,-5,1,16,25,2,1,2,3,4,5,5,5,-5,3,-1,-1,-1,3,-1,-1,-1,3,-1,-1,-1,3
1519,-1,1,-9,-9,2,4,3,2,3,3,3,3,3,2,-1,-1,-1,1,-1,-1,-1,4,-1,-1,-1,3
1520,-1,1,6,49,2,6,1,3,2,2,2,2,4,3,-1,-1,-1,4,-1,-1,-1,2,-1,-1,-1,1
1521,-1,3,17,35,2,1,2,4,4,3,3,3,4,4,4,-1,-1,-1,-1,2,-1,-1,-1,4,-1,1
1522,-1,1,12,62,1,1,3,2,3,3,2,2,5,2,-1,-1,-1,4,-1,-1,-1,5,-1,-1,-1,3
1523,-1,1,16,33,1,1,1,3,4,3,3,3,5,3,-1,-1,-1,4,-1,-1,-1,5,-1,-1,-1,5
1524,-1,1,13,49,2,6,1,4,3,3,2,2,4,1,-1,-1,-1,5,-1,-1,-1,3,-1,-1,-1,3
1525,-1,1,5,64,2,1,1,2,3,4,4,4,3,4,-1,-1,-1,5,-1,-1,-1,5,-1,-1,-1,2
1526,-1,3,21,38,1,1,2,3,5,3,3,3,2,1,1,-1,-1,-1,-1,2,-1,-1,-1,1,-1,1
1527,-1,1,20,-9,2,1,2,3,4,3,3,3,4,2,-1,-1,-1,4,-1,-1,-1,3,-1,-1,-1,2
1528,-1,1,-9,-9,-9,-9,3,3,4,3,3,3,5,3,-1,-1,-1,3,-1,-1,-1,3,-1,-1,-1,2
1529,-1,1,12,30,2,1,1,2,3,3,2,2,4,2,-1,-1,-1,1,-1,-1,-1,5,-1,-1,-1,2
1530,-1,1,18,36,1,1,2,1,4,5,5,5,5,2,-1,-1,-1,3,-1,-1,-1,1,-1,-1,-1,1
1531,-1,1,6,80,2,3,2,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
1532,-1,3,18,42,2,1,1,1,3,1,1,1,2,4,2,-1,-1,-1,-1,2,-1,-1,-1,1,-1,1
1533,-1,1,9,76,2,4,3,3,3,3,3,3,5,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1
1534,-1,1,11,37,2,6,1,2,4,5,2,2,4,4,-1,-1,-1,3,-1,-1,-1,5,-1,-1,-1,1
1535,-1,1,18,49,1,1,2,2,4,3,2,3,5,2,-1,-1,-1,5,-1,-1,-1,3,-1,-1,-1,2
1536,-1,5,5,27,1,6,3,4,4,1,1,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
1537,-1,1,4,73,2,3,3,2,3,4,3,3,5,1,-1,-1,-1,1,-1,-1,-1,5,-1,-1,-1,3
1538,-1,1,-9,80,2,1,1,2,5,3,3,3,4,2,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1
1539,-1,1,17,35,1,1,5,3,3,4,4,4,4,1,-1,-1,-1,1,-1,-1,-1,2,-1,-1,-1,1
1540,-1,1,17,59,2,1,3,4,3,2,2,2,5,1,-1,-1,-1,4,-1,-1,-1,2,-1,-1,-1,1
1541,-1,1,15,62,2,1,2,3,2,5,5,5,5,4,-1,-1,-1,5,-1,-1,-1,5,-1,-1,-1,2
1542,-1,2,1,38,1,6,1,4,2,5,2,3,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1
1543,-1,1,5,75,2,3,3,2,3,3,3,3,5,2,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,1
1544,-1,1,-9,62,-9,4,3,2,3,3,3,3,3,2,-1,-1,-1,2,-1,-1,-1,4,-1,-1,-1,4
1545,-1,1,6,51,2,1,3,2,2,4,4,5,5,3,-1,-1,-1,3,-1,-1,-1,2,-1,-1,-1,2
1546,-1,5,1,24,2,6,3,2,3,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
1547,-1,1,16,73,2,1,3,4,4,2,2,2,4,1,-1,-1,-1,5,-1,-1,-1,5,-1,-1,-1,4
1548,-1,1,6,72,1,3,2,2,4,2,2,2,5,2,-1,-1,-1,1,-1,-1,-1,3,-1,-1,-1,2
1549,-1,1,6,79,2,4,2,1,2,3,3,3,5,2,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,2
1550,-1,3,21,41,2,1,2,4,3,4,4,5,5,3,3,-1,-1,-1,-1,5,-1,-1,-1,5,-1,2
1551,-1,1,5,24,2,6,3,1,4,5,5,5,5,1,-1,-1,-1,2,-1,-1,-1,5,-1,-1,-1,4
1552,-1,6,1,35,2,1,2,1,3,3,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,1
1553,-1,5,16,54,1,1,5,-6,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
1554,-1,1,3,42,2,1,2,1,4,3,2,3,5,2,-1,-1,-1,3,-1,-1,-1,2,-1,-1,-1,2
1555,-1,1,20,32,2,1,2,3,5,5,4,5,5,2,-1,-1,-1,2,-1,-1,-1,2,-1,-1,-1,2
1556,-1,3,7,61,2,1,3,2,1,1,1,1,4,3,3,-1,-1,-1,-1,2,-1,-1,-1,2,-1,2
1557,-1,1,6,29,2,6,2,2,2,1,1,1,2,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1
1558,-1,4,22,61,1,1,3,3,5,4,1,4,3,-1,-1,-1,2,-1,-1,-1,1,-1,-1,-1,1,3
1559,-1,1,22,41,2,1,1,-6,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
1560,-1,3,10,62,1,4,2,2,2,2,2,2,3,1,1,-1,-1,-1,-1,1,-1,-1,-1,2,-1,1
1561,-1,1,10,72,1,1,2,2,4,5,5,5,3,4,-1,-1,-1,1,-1,-1,-1,5,-1,-1,-1,5
1562,-1,1,1,52,2,4,2,1,3,3,3,3,3,3,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,4
1563,-1,1,13,77,1,1,1,3,5,2,2,2,4,2,-1,-1,-1,3,-1,-1,-1,5,-1,-1,-1,2
1564,-1,1,10,49,1,6,2,3,1,4,2,4,5,2,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,1
1565,-1,1,18,25,2,6,1,3,5,4,3,4,5,2,-1,-1,-1,5,-1,-1,-1,2,-1,-1,-1,2
1566,-1,1,15,77,1,-9,2,2,4,5,5,5,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1
1567,-1,1,19,31,2,1,1,4,3,2,1,2,5,3,-1,-1,-1,1,-1,-1,-1,4,-1,-1,-1,1
1568,-1,1,20,-9,2,1,2,3,3,4,4,4,5,4,-1,-1,-1,5,-1,-1,-1,3,-1,-1,-1,3
1569,-1,1,17,28,1,1,3,2,3,3,3,3,4,2,-1,-1,-1,4,-1,-1,-1,4,-1,-1,-1,3
1570,-1,1,1,26,1,6,3,4,4,5,5,5,5,1,-1,-1,-1,2,-1,-1,-1,5,-1,-1,-1,3
1571,-1,1,1,32,2,6,2,4,3,5,2,5,5,2,-1,-1,-1,1,-1,-1,-1,5,-1,-1,-1,1
1572,-1,1,13,78,1,3,2,3,4,4,4,4,5,1,-1,-1,-1,3,-1,-1,-1,2,-1,-1,-1,1
1573,-1,1,2,45,2,6,1,4,5,3,3,3,5,1,-1,-1,-1,5,-1,-1,-1,2,-1,-1,-1,3
1574,-1,4,21,58,1,1,1,4,5,1,1,1,4,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,2
